SRR5892193	SRR5892194	SRR5892196	SRR5892197	SRR5892198	SRR5892199	SRR5892201	SRR5892202	SRR5892203	SRR5892206	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRR402990	SRR402991
Corynebacterium_durum	0.000786843896654033	0.00119447127164764	0.000814386197528538	0.00296701788740909	0.000275005380885632	0.000560931537050086	0.000798107980888722	0	0.00017185646819129	0	0.00149308673693766	0.000201821173396274	0.00103752387869769	0.000503746472182	0.000618391850082339	0.000661082824175316	0.000699945937877284	0.00184127480081237	0.00206559360282315	0.000332168865643324	0.00572471979445984	0.00391179872816595
Corynebacterium_kroppenstedtii	0	2.92313027130661e-05	0	0	0	0	0	0	0	0	0	0	2.03725519721516e-05	0	0	0	0	0	0	0	0	0
Corynebacterium_matruchotii	0.00141680830672294	0.00544504658380643	0.00132365924855635	0.0168044475598132	0.00108571488523056	0.00459977813901893	0.0215132458535647	0.000188591250591475	0.00565656519974357	0.00333987257937446	0.00469209293840556	6.3408806722348e-05	0.00141220168235944	0.00225707543091483	0.000482053489434264	0.0013381397686374	0.00105881324746299	0.0012682393376035	0.0137314428954938	0.000211124279010587	0.00544703862853553	0.0144844437074582
Corynebacterium_simulans	0	0	0	0	0	0	1.40130690978068e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_urealyticum	0	0	0	0	0	0	0	0	0	0	2.93187941071396e-05	0	0	0	0	0	0	0	0	0	0	0
Cronobacter_sakazakii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptobacterium_curtum	2.84401408429168e-05	0.000209777584176121	0	3.83239810457007e-05	0	2.02326051921051e-05	0	0	5.0878559661895e-05	0.000431376197089528	3.90917254761861e-05	1.44934415365367e-05	0	0	7.88814800892432e-05	0	3.90577567544783e-05	2.74957037962818e-05	6.64758384540273e-05	0	0	0
Cutibacterium_granulosum	0	0	0	0	0	0	0	0	0	5.43336431448642e-05	0	0	0	0	0	0	0	0	0	0	0	0
Delftia_acidovorans	0	0	0	0	0	3.06977458087112e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfomicrobium_orale	0	0	0.000661604282220196	0.00413280866567024	0	0	0	0	2.60045971605241e-05	0	0	0	0	0	0	0	0	3.59318856428683e-05	1.43077135745423e-05	0	0.000957158564360324	0.000303673854280503
Desulfovibrio_fairfieldensis	0	0	0	2.22526341555682e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister_invisus	0.00101681148712579	0.000404079772798267	0.0015778450899543	0.00268885996046449	0.000482610599057097	0.00185791129746813	0.000254146116819314	0.000172251214439145	0.00136015349496133	0.000540043483379256	0.000886079110793551	0.000314145345304433	0.000246537404300675	0.000371780368358351	0.000187952168607703	0.000192099036269035	0.000539461095767299	0.000542102796438057	0.000846796524942527	0.000187478359761401	0.000832342282707476	0.000731214675438579
Dialister_micraerophilus	0.000348621081300271	0.000561699542329506	0.000129797025394698	0	6.16775073893787e-05	0	2.16565613329741e-05	5.78709613728354e-05	6.55768102308869e-05	0.000166293877503978	1.9545862738093e-05	4.23933164943698e-05	4.84217177309111e-05	3.3674109251552e-05	2.82415175628155e-05	0	0	0	2.90556644898398e-05	3.32168865643324e-05	0	0
Dialister_pneumosintes	0.000499996024496441	0.00020748493298294	0.000260495419021303	0.000940791921799299	9.72851405213911e-05	0.000535117523529124	6.62435993714502e-05	0.000230122175811981	0.000264568510241854	0.000175349484694789	0.000169397477063473	0.000292767519038041	5.93461296580069e-05	0.000130145881701944	6.71953348908368e-05	6.71732237699825e-05	5.10457811048627e-05	0.000100296828620528	0.000316970885343707	0.000146379500114007	0.000226492466145337	0.00034562879467452
Dolosigranulum_pigrum	0	1.83412095454532e-05	2.83930993050902e-05	0	0	0	3.88544188621006e-05	1.42975316332887e-05	1.92207892056048e-05	1.64647403469285e-05	0	3.2972579495621e-05	5.4031550882663e-05	3.18538871298465e-05	0	0	2.93899951815876e-05	3.56194344633651e-05	0	1.57639461661238e-05	0	0
Eggerthella_lenta	0	2.80849771164753e-05	0	1.60713468901326e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76094936302059e-05	0	0	0
Eggerthia_catenaformis	0.000471555883653524	0.000231557770511347	0.000387137655604325	0.000733100669680662	0.000161188124981521	0.000489768580857165	0.000103824102861023	0.000159996187324898	0.000632024774466651	0.000143243241018278	0.00029535970359785	0.000146746095557434	0.000171838047069453	0.00012058971556299	6.91430257572379e-05	0.00012615459098265	0.000106345377301797	0.000254960162474613	0.000162007341397894	0.000162706444357493	5.89020654990968e-05	5.79377748298328e-05
Eikenella_corrodens	0.000371250870788183	0.000460822889829513	0.000345674716936574	0.00130919664281926	0.000156737170840019	0.000391396259061068	0.000409563792267716	0.000145017820851929	0.000732651259131288	0.000269198504672282	0.000242151521699708	5.25387255699455e-05	7.97186816301585e-05	0.000394078089349243	2.82415175628155e-05	0.000124516219671187	0.000268377061263445	0.000723324480549914	0.000171912681564885	3.43428827190555e-05	0.0038468658491434	0.00176610320515766
Enterobacter_hormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45617769736441e-05	0	0	0	0	0	0	0	0
Enterococcus_faecalis	0	2.23533491335211e-05	2.25342057976906e-05	0	1.81217418618278e-05	1.46511968632485e-05	1.52869844703347e-05	1.70208709920104e-05	2.0351423864758e-05	1.81112143816214e-05	3.25764378968217e-05	2.02908181511514e-05	3.10017095228394e-05	2.45729986430244e-05	0	1.92508629096901e-05	2.9003284718672e-05	1.74972660521793e-05	1.6508900278318e-05	2.70239077133552e-05	0	0
Enterococcus_italicus	0	2.40728375284074e-05	2.56889946093673e-05	0	2.13009948200432e-05	1.60465489454627e-05	0	0	1.69595198872983e-05	1.48182663122357e-05	2.60611503174574e-05	3.65959398797552e-05	1.59437363260317e-05	3.23089426602728e-05	3.21368992956176e-05	1.72028987703614e-05	1.70152603682876e-05	1.65599125136697e-05	1.71692562894508e-05	2.70239077133552e-05	0	0
Enterococcus_saccharolyticus	2.47704452502824e-05	1.77680467471578e-05	2.65903628412749e-05	0	0	1.46511968632485e-05	0	2.4510054228495e-05	0	2.55203475377392e-05	0	0	1.44674644439917e-05	1.63819990953496e-05	2.72676721296149e-05	0	2.66830219411782e-05	1.93719731291986e-05	1.43077135745423e-05	3.26538884869708e-05	0	0
Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17376670294286e-05	7.99141721790797e-05
Eubacterium_limosum	0	0	0	0	0	0	0	0	1.92207892056048e-05	2.46971105203928e-05	0	0	0	0	0	0	0	0	0	0	0	0
